  t         w[0]         w[1]
0.01       1020.2       500.53
0.02      1040.79      501.123
0.03      1061.78      501.778
0.04      1083.19      502.499
0.05         1105      503.286
0.06      1127.24       504.14
0.07      1149.91      505.064
0.08      1173.01      506.059
0.09      1196.55      507.128
0.1      1220.53       508.27
0.11      1244.97       509.49
0.12      1269.86      510.788
0.13      1295.22      512.166
0.14      1321.04      513.627
0.15      1347.34      515.173
0.16      1374.12      516.806
0.17      1401.38      518.527
0.18      1429.14      520.341
0.19      1457.39      522.248
0.2      1486.14      524.253
0.21      1515.39      526.356
0.22      1545.16      528.562
0.23      1575.43      530.872
0.24      1606.23       533.29
0.25      1637.54      535.819
0.26      1669.38      538.462
0.27      1701.75      541.223
0.28      1734.65      544.103
0.29      1768.08      547.109
0.3      1802.04      550.242
0.31      1836.54      553.506
0.32      1871.57      556.906
0.33      1907.14      560.446
0.34      1943.25      564.129
0.35      1979.89      567.961
0.36      2017.06      571.945
0.37      2054.76      576.087
0.38         2093      580.391
0.39      2131.75      584.862
0.4      2171.03      589.505
0.41      2210.82      594.327
0.42      2251.12      599.331
0.43      2291.92      604.525
0.44      2333.21      609.914
0.45      2374.98      615.505
0.46      2417.23      621.303
0.47      2459.94      627.316
0.48       2503.1       633.55
0.49      2546.69      640.013
0.5       2590.7      646.712
0.51       2635.1      653.654
0.52       2679.9      660.847
0.53      2725.05        668.3
0.54      2770.55      676.021
0.55      2816.36      684.018
0.56      2862.46      692.301
0.57      2908.83      700.878
0.58      2955.43       709.76
0.59      3002.24      718.956
0.6      3049.22      728.476
0.61      3096.33       738.33
0.62      3143.54      748.529
0.63      3190.81      759.085
0.64      3238.09      770.007
0.65      3285.34      781.309
0.66      3332.52      793.001
0.67      3379.57      805.095
0.68      3426.44      817.604
0.69      3473.08      830.541
0.7      3519.42      843.918
0.71      3565.42      857.747
0.72         3611      872.043
0.73       3656.1      886.819
0.74      3700.65      902.087
0.75      3744.58      917.862
0.76      3787.82      934.157
0.77      3830.29      950.986
0.78      3871.91      968.362
0.79       3912.6        986.3
0.8      3952.27      1004.81
0.81      3990.85      1023.91
0.82      4028.24      1043.61
0.83      4064.36      1063.93
0.84      4099.11      1084.87
0.85       4132.4      1106.45
0.86      4164.13      1128.67
0.87      4194.21      1151.56
0.88      4222.55      1175.12
0.89      4249.05      1199.36
0.9      4273.62      1224.28
0.91      4296.16       1249.9
0.92      4316.57      1276.22
0.93      4334.76      1303.25
0.94      4350.65      1330.98
0.95      4364.15      1359.43
0.96      4375.16      1388.58
0.97      4383.62      1418.44
0.98      4389.44      1449.01
0.99      4392.55      1480.27
  1      4392.88      1512.23
1.01      4390.38      1544.87
1.02      4384.99      1578.17
1.03      4376.66      1612.12
1.04      4365.35      1646.71
1.05      4351.03      1681.91
1.06      4333.68       1717.7
1.07      4313.29      1754.05
1.08      4289.85      1790.94
1.09      4263.37      1828.32
1.1      4233.87      1866.18
1.11      4201.37      1904.46
1.12      4165.91      1943.14
1.13      4127.54      1982.16
1.14      4086.33      2021.48
1.15      4042.33      2061.05
1.16      3995.64      2100.83
1.17      3946.34      2140.75
1.18      3894.53      2180.78
1.19      3840.32      2220.84
1.2      3783.84      2260.89
1.21       3725.2      2300.87
1.22      3664.55      2340.72
1.23      3602.02      2380.38
1.24      3537.75      2419.79
1.25      3471.91      2458.89
1.26      3404.64      2497.62
1.27       3336.1      2535.94
1.28      3266.45      2573.77
1.29      3195.86      2611.06
1.3      3124.47      2647.77
1.31      3052.46      2683.85
1.32      2979.98      2719.23
1.33      2907.18      2753.88
1.34      2834.22      2787.75
1.35      2761.24       2820.8
1.36      2688.38      2852.99
1.37      2615.79       2884.3
1.38      2543.58      2914.68
1.39      2471.89      2944.11
1.4      2400.84      2972.56
1.41      2330.52      3000.01
1.42      2261.04      3026.45
1.43      2192.49      3051.86
1.44      2124.97      3076.22
1.45      2058.54      3099.54
1.46      1993.28      3121.79
1.47      1929.25      3142.99
1.48      1866.51      3163.13
1.49       1805.1      3182.21
1.5      1745.06      3200.24
1.51      1686.42      3217.22
1.52      1629.23      3233.18
1.53      1573.48      3248.11
1.54      1519.21      3262.03
1.55      1466.41      3274.96
1.56      1415.09      3286.92
1.57      1365.26      3297.91
1.58      1316.91      3307.97
1.59      1270.02      3317.12
1.6      1224.59      3325.36
1.61       1180.6      3332.74
1.62      1138.03      3339.26
1.63      1096.87      3344.95
1.64      1057.08      3349.85
1.65      1018.64      3353.96
1.66      981.529      3357.31
1.67      945.712      3359.94
1.68      911.161      3361.85
1.69      877.844      3363.08
1.7       845.73      3363.66
1.71      814.787      3363.59
1.72      784.982      3362.91
1.73      756.282      3361.65
1.74      728.654      3359.81
1.75      702.064      3357.43
1.76      676.481      3354.53
1.77      651.871      3351.13
1.78      628.203      3347.24
1.79      605.443      3342.89
1.8      583.561      3338.11
1.81      562.527       3332.9
1.82      542.309      3327.28
1.83      522.879      3321.28
1.84      504.207      3314.91
1.85      486.266       3308.2
1.86      469.028      3301.14
1.87      452.466      3293.77
1.88      436.555      3286.09
1.89      421.269      3278.13
1.9      406.584      3269.89
1.91      392.477      3261.39
1.92      378.924      3252.64
1.93      365.905      3243.65
1.94      353.397      3234.45
1.95       341.38      3225.03
1.96      329.835      3215.41
1.97      318.742      3205.61
1.98      308.083      3195.62
1.99       297.84      3185.47
  2      287.997      3175.16
2.01      278.537      3164.69
2.02      269.445      3154.09
2.03      260.705      3143.35
2.04      252.303      3132.49
2.05      244.225      3121.51
2.06      236.458      3110.43
2.07      228.989      3099.24
2.08      221.806      3087.95
2.09      214.897      3076.58
2.1       208.25      3065.12
2.11      201.856      3053.59
2.12      195.703      3041.99
2.13      189.781      3030.32
2.14      184.083      3018.59
2.15      178.597       3006.8
2.16      173.315      2994.96
2.17       168.23      2983.08
2.18      163.333      2971.16
2.19      158.616      2959.19
2.2      154.072       2947.2
2.21      149.695      2935.17
2.22      145.477      2923.12
2.23      141.411      2911.05
2.24      137.493      2898.95
2.25      133.716      2886.84
2.26      130.074      2874.72
2.27      126.561      2862.58
2.28      123.174      2850.44
2.29      119.906      2838.29
2.3      116.754      2826.14
2.31      113.711      2813.99
2.32      110.776      2801.84
2.33      107.942       2789.7
2.34      105.206      2777.56
2.35      102.564      2765.43
2.36      100.013      2753.31
2.37      97.5491       2741.2
2.38      95.1688      2729.11
2.39      92.8691      2717.03
2.4      90.6469      2704.96
2.41      88.4991      2692.92
2.42      86.4231      2680.89
2.43       84.416      2668.89
2.44      82.4753      2656.91
2.45      80.5985      2644.95
2.46      78.7833      2633.02
2.47      77.0273      2621.11
2.48      75.3283      2609.23
2.49      73.6843      2597.38
2.5      72.0933      2585.55
2.51      70.5532      2573.76
2.52      69.0624         2562
2.53      67.6189      2550.26
2.54      66.2211      2538.56
2.55      64.8674      2526.89
2.56      63.5561      2515.26
2.57      62.2858      2503.66
2.58      61.0551       2492.1
2.59      59.8625      2480.57
2.6      58.7067      2469.07
2.61      57.5864      2457.61
2.62      56.5005      2446.19
2.63      55.4476      2434.81
2.64      54.4268      2423.47
2.65      53.4368      2412.16
2.66      52.4767      2400.89
2.67      51.5455      2389.66
2.68      50.6421      2378.47
2.69      49.7657      2367.32
2.7      48.9153      2356.21
2.71      48.0901      2345.14
2.72      47.2893      2334.12
2.73       46.512      2323.13
2.74      45.7576      2312.18
2.75      45.0253      2301.28
2.76      44.3143      2290.41
2.77       43.624      2279.59
2.78      42.9537      2268.81
2.79      42.3028      2258.07
2.8      41.6708      2247.38
2.81      41.0569      2236.72
2.82      40.4607      2226.11
2.83      39.8816      2215.54
2.84       39.319      2205.01
2.85      38.7726      2194.53
2.86      38.2417      2184.09
2.87       37.726      2173.69
2.88       37.225      2163.34
2.89      36.7382      2153.03
2.9      36.2652      2142.76
2.91      35.8056      2132.53
2.92      35.3591      2122.35
2.93      34.9253      2112.21
2.94      34.5037      2102.11
2.95      34.0942      2092.06
2.96      33.6962      2082.05
2.97      33.3096      2072.08
2.98      32.9339      2062.15
2.99      32.5689      2052.27
  3      32.2143      2042.43
3.01      31.8698      2032.64
3.02      31.5352      2022.88
3.03      31.2102      2013.17
3.04      30.8945      2003.51
3.05      30.5879      1993.88
3.06      30.2901       1984.3
3.07       30.001      1974.76
3.08      29.7203      1965.26
3.09      29.4479      1955.81
3.1      29.1834       1946.4
3.11      28.9267      1937.03
3.12      28.6776       1927.7
3.13       28.436      1918.41
3.14      28.2017      1909.17
3.15      27.9744      1899.97
3.16      27.7541      1890.81
3.17      27.5405      1881.69
3.18      27.3335      1872.61
3.19       27.133      1863.58
3.2      26.9389      1854.58
3.21      26.7509      1845.63
3.22       26.569      1836.72
3.23       26.393      1827.85
3.24      26.2229      1819.02
3.25      26.0584      1810.23
3.26      25.8995      1801.48
3.27       25.746      1792.78
3.28      25.5979      1784.11
3.29      25.4551      1775.48
3.3      25.3174       1766.9
3.31      25.1847      1758.35
3.32      25.0571      1749.84
3.33      24.9343      1741.38
3.34      24.8163      1732.95
3.35       24.703      1724.56
3.36      24.5944      1716.22
3.37      24.4903      1707.91
3.38      24.3907      1699.64
3.39      24.2955      1691.41
3.4      24.2047      1683.22
3.41      24.1181      1675.07
3.42      24.0358      1666.95
3.43      23.9576      1658.88
3.44      23.8835      1650.84
3.45      23.8134      1642.84
3.46      23.7474      1634.88
3.47      23.6853      1626.96
3.48      23.6271      1619.07
3.49      23.5728      1611.23
3.5      23.5222      1603.42
3.51      23.4754      1595.65
3.52      23.4324      1587.91
3.53       23.393      1580.21
3.54      23.3573      1572.55
3.55      23.3252      1564.93
3.56      23.2967      1557.34
3.57      23.2718      1549.79
3.58      23.2504      1542.28
3.59      23.2325       1534.8
3.6       23.218      1527.36
3.61       23.207      1519.95
3.62      23.1995      1512.58
3.63      23.1954      1505.24
3.64      23.1946      1497.95
3.65      23.1973      1490.68
3.66      23.2033      1483.45
3.67      23.2126      1476.26
3.68      23.2253       1469.1
3.69      23.2413      1461.98
3.7      23.2607      1454.89
3.71      23.2833      1447.84
3.72      23.3092      1440.82
3.73      23.3385      1433.83
3.74       23.371      1426.88
3.75      23.4068      1419.96
3.76      23.4459      1413.08
3.77      23.4883      1406.23
3.78       23.534      1399.41
3.79       23.583      1392.63
3.8      23.6353      1385.88
3.81      23.6909      1379.16
3.82      23.7498      1372.48
3.83      23.8121      1365.83
3.84      23.8776      1359.21
3.85      23.9465      1352.63
3.86      24.0188      1346.08
3.87      24.0944      1339.56
